Provinsi,Jahe (Kg),Laos/Lengkuas (Kg),Kencur (Kg),Kunyit (Kg),Lempuyang (Kg),Temulawak (Kg),Temuireng (Kg), 
KALIMANTAN SELATAN,7139996.0,913078.0,5550994.0,2162178.0,1744.0,390023.0,112.0,2021
KALIMANTAN TIMUR,2441371.0,274326.0,136080.0,525390.0,6864.0,75920.0,80839.0,2021
KALIMANTAN UTARA,657717.0,1691682.0,47549.0,134099.0,1193.0,54788.0,6904.0,2021
SULAWESI UTARA,1547914.0,97725.0,12745.0,406292.0,2.0,50774.0,,2021
SULAWESI TENGAH,643341.0,306776.0,511939.0,372073.0,1623.0,34049.0,4251.0,2021
SULAWESI SELATAN,60793383.0,3293700.0,251133.0,9808610.0,13140.0,45182.0,773.0,2021
SULAWESI TENGGARA,922195.0,196032.0,16626.0,107851.0,4545.0,32774.0,14955.0,2021
GORONTALO,15801.0,,2813.0,12085.0,,,,2021
SULAWESI BARAT,144894.0,99144.0,67822.0,123638.0,8810.0,4576.0,,2021
MALUKU,665819.0,257758.0,57435.0,362287.0,1637.0,987.0,2679.0,2021
MALUKU UTARA,10202830.0,1176955.0,329600.0,2106441.0,,155364.0,17404.0,2021
PAPUA BARAT,203323.0,74862.0,64764.0,807076.0,1298.0,36728.0,470.0,2021
PAPUA BARAT DAYA,,,,,,,,2021
PAPUA,113016.0,84069.0,35413.0,62437.0,9319.0,13280.0,8876.0,2021
PAPUA SELATAN,,,,,,,,2021
PAPUA TENGAH,,,,,,,,2021
PAPUA PEGUNUNGAN,,,,,,,,2021
INDONESIA,307241517.0,76745335.0,54408609.0,184825890.0,8428689.0,32282031.0,6519135.0,2021
ACEH,2769195.0,491312.0,169916.0,1039869.0,26569.0,724.0,0.0,2022
SUMATERA UTARA,31250115.0,893906.0,1174808.0,7952238.0,21393.0,37462.0,2806.0,2022
SUMATERA BARAT,7213111.0,2327641.0,591037.0,3983213.0,5430.0,36086.0,1622.0,2022
RIAU,2175788.0,779474.0,820610.0,2169237.0,1412946.0,209589.0,17217.0,2022
JAMBI,2553195.0,787701.0,264647.0,697239.0,9536.0,25844.0,10855.0,2022
SUMATERA SELATAN,2062736.0,1323744.0,1526659.0,1508873.0,10963.0,73876.0,57530.0,2022
BENGKULU,16703709.0,1833805.0,1449968.0,5557880.0,28544.0,33666.0,1814.0,2022
LAMPUNG,3826072.0,1124748.0,5413628.0,1043983.0,108875.0,210221.0,108066.0,2022
KEP BANGKA BELITUNG,650686.0,714654.0,383800.0,490096.0,3850.0,4982.0,0.0,2022
KEP RIAU,35157.0,66290.0,9596.0,29147.0,545.0,1330.0,0.0,2022
DKI JAKARTA,1377.0,1000.0,392.0,560.0,8.0,140.0,25.0,2022
JAWA BARAT,54741570.0,17984286.0,13369813.0,13999087.0,107798.0,119970.0,18862.0,2022
JAWA TENGAH,45309562.0,14479924.0,14777968.0,22909561.0,907798.0,4251573.0,936241.0,2022
DI YOGYAKARTA,4969766.0,1222612.0,2675173.0,3287539.0,589724.0,1453450.0,754737.0,2022
JAWA TIMUR,31456739.0,8639144.0,2840700.0,102772963.0,3784797.0,20816841.0,2977873.0,2022
BANTEN,2678077.0,3210934.0,1664607.0,821776.0,54156.0,31985.0,973.0,2022
BALI,5757638.0,353042.0,353391.0,6466018.0,0.0,13784.0,4.0,2022
NUSA TENGGARA BARAT,2138322.0,837989.0,352871.0,1390452.0,23792.0,56825.0,2743.0,2022
NUSA TENGGARA TIMUR,1463421.0,953754.0,159558.0,1072882.0,4.0,148163.0,6813.0,2022
KALIMANTAN BARAT,3805897.0,492400.0,274863.0,756263.0,25172.0,50823.0,37637.0,2022
KALIMANTAN TENGAH,637917.0,323853.0,121373.0,217295.0,8913.0,18062.0,5882.0,2022
KALIMANTAN SELATAN,4083940.0,927814.0,2794624.0,2273520.0,1320.0,151095.0,154.0,2022
KALIMANTAN TIMUR,1140389.0,294401.0,129305.0,219214.0,6205.0,50173.0,65162.0,2022
KALIMANTAN UTARA,653066.0,739134.0,52534.0,180661.0,5038.0,40285.0,8675.0,2022
SULAWESI UTARA,2036404.0,75846.0,8456.0,492677.0,0.0,25799.0,0.0,2022
SULAWESI TENGAH,1201645.0,513883.0,344840.0,616584.0,13996.0,99474.0,11380.0,2022
SULAWESI SELATAN,10464984.0,3059302.0,232415.0,11769811.0,27878.0,37275.0,302.0,2022
SULAWESI TENGGARA,332246.0,156949.0,69072.0,103856.0,2012.0,21610.0,13874.0,2022
GORONTALO,18557.0,0.0,812.0,18821.0,0.0,0.0,0.0,2022
SULAWESI BARAT,229090.0,78336.0,43935.0,109786.0,15383.0,2257.0,0.0,2022
MALUKU,504590.0,360986.0,129462.0,381061.0,1634.0,203.0,12.0,2022
MALUKU UTARA,4426649.0,1163088.0,225546.0,1913055.0,0.0,43560.0,0.0,2022
PAPUA BARAT,93775.0,63104.0,39312.0,229382.0,2460.0,21389.0,1386.0,2022
PAPUA BARAT DAYA,,,,,,,,2022
PAPUA,70102.0,37615.0,11534.0,24971.0,12869.0,11186.0,9104.0,2022
PAPUA SELATAN,,,,,,,,2022
PAPUA TENGAH,,,,,,,,2022
PAPUA PEGUNUNGAN,,,,,,,,2022
INDONESIA,247455487.0,66312671.0,52477225.0,196499570.0,7219608.0,28099702.0,5051749.0,2022
ACEH,4345136.0,776506.0,91805.0,2384875.0,6.0,13339.0,90.0,2023
SUMATERA UTARA,16637643.0,931247.0,1500313.0,3594877.0,27752.0,27180.0,1847.0,2023
SUMATERA BARAT,5473718.0,1240713.0,190612.0,2260163.0,11997.0,8804.0,204.0,2023
RIAU,1070335.0,1189048.0,722104.0,1414919.0,161093.0,610079.0,12297.0,2023
JAMBI,2508430.0,694404.0,128105.0,623398.0,14779.0,29472.0,12834.0,2023
SUMATERA SELATAN,2241128.0,2644358.0,1463757.0,1472517.0,11655.0,225682.0,100510.0,2023
BENGKULU,16879563.0,1533213.0,669497.0,5458374.0,6028.0,17838.0,8196.0,2023
LAMPUNG,2825270.0,1183187.0,6042319.0,1479313.0,106751.0,196860.0,76444.0,2023
KEP BANGKA BELITUNG,762841.0,1023903.0,491764.0,660763.0,,36090.0,,2023
KEP RIAU,39340.0,63575.0,8599.0,29401.0,176.0,1542.0,,2023
DKI JAKARTA,1937.0,1725.0,443.0,939.0,33.0,114.0,28.0,2023
JAWA BARAT,39976740.0,15967432.0,15248833.0,22447402.0,152777.0,195067.0,34641.0,2023
JAWA TENGAH,33302216.0,9349170.0,9895354.0,20568314.0,583636.0,3022592.0,745644.0,2023
DI YOGYAKARTA,4821591.0,1161345.0,2697539.0,3539394.0,561783.0,1569671.0,573138.0,2023
JAWA TIMUR,29162669.0,9732999.0,3190427.0,113283709.0,1760233.0,17320203.0,2194243.0,2023
BANTEN,793604.0,772868.0,217419.0,310674.0,94883.0,3228.0,330.0,2023
